#
> Datalog 1750908246
< Robot_Model FD-030175-V 
< Robot_Serial R2411C355 
# Start : 6/26 12:24:6 
#
#-----------+---------------+---------------+---------------+---------------
#   Time	AccuracyPos	gValue1	gValue2	gValue3
#-----------+---------------+---------------+---------------+---------------
1	00:00:00	0.0048	0.0037	-0.0027	0.0014
2	00:00:09	0.0096	0.0083	-0.0027	0.0040
3	00:00:18	0.0082	0.0070	-0.0004	0.0043
4	00:00:26	0.0072	0.0057	-0.0017	0.0040
5	00:00:35	0.0042	0.0019	-0.0023	0.0030
6	00:00:43	0.0106	0.0090	0.0028	0.0048
7	00:00:52	0.0236	0.0230	-0.0002	0.0054
8	00:01:01	0.0239	0.0227	-0.0051	0.0055
9	00:01:09	0.0091	0.0076	-0.0013	0.0049
10	00:02:09	0.0237	-0.0194	0.0136	0.0006
11	00:02:39	0.0239	-0.0198	0.0134	0.0007
12	00:03:15	0.0154	-0.0087	0.0118	0.0046
13	00:03:24	0.0214	0.0198	0.0038	0.0073
14	00:03:32	0.0075	0.0034	-0.0002	0.0067
15	00:03:41	0.0121	0.0100	-0.0008	0.0067
16	00:04:10	0.0167	-0.0129	0.0102	0.0027
17	00:05:10	0.0249	-0.0203	0.0142	0.0027
18	00:05:46	0.0408	0.0370	0.0136	0.0105
19	00:06:22	0.0405	0.0361	0.0148	0.0109
20	00:06:31	0.0097	-0.0043	0.0070	0.0051
21	00:07:07	0.0267	-0.0229	0.0118	0.0070
22	00:07:36	0.0326	-0.0282	0.0156	0.0050
23	00:08:12	0.0322	0.0253	0.0167	0.0108
24	00:08:21	0.0125	-0.0005	0.0102	0.0072
25	00:08:30	0.0128	-0.0101	0.0058	0.0054
26	00:09:36	0.0354	0.0285	0.0182	0.0105
27	00:09:44	0.0151	-0.0100	0.0097	0.0059
28	00:10:21	0.0297	-0.0256	0.0137	0.0062
29	00:10:29	0.0147	0.0099	0.0082	0.0071
30	00:10:58	0.0203	-0.0053	0.0193	0.0034
31	00:12:05	0.0418	0.0360	0.0181	0.0113
32	00:13:11	0.0420	0.0362	0.0184	0.0107
33	00:13:19	0.0164	-0.0098	0.0114	0.0066
34	00:13:28	0.0131	0.0063	0.0092	0.0069
35	00:13:37	0.0140	-0.0040	0.0118	0.0063
36	00:14:36	0.0356	-0.0269	0.0225	0.0062
37	00:16:13	0.0317	-0.0227	0.0212	0.0065
38	00:16:49	0.0399	0.0330	0.0195	0.0110
39	00:17:55	0.0358	0.0278	0.0195	0.0112
40	00:19:01	0.0387	0.0297	0.0220	0.0116
41	00:19:10	0.0364	-0.0344	0.0098	0.0070
42	00:19:18	0.0145	-0.0062	0.0119	0.0055
43	00:19:48	0.0353	-0.0259	0.0234	0.0052
44	00:19:56	0.0185	-0.0093	0.0149	0.0059
45	00:21:02	0.0358	-0.0293	0.0192	0.0076
46	00:21:11	0.0223	-0.0180	0.0103	0.0083
47	00:21:40	0.0355	-0.0276	0.0213	0.0068
48	00:21:49	0.0284	0.0267	0.0060	0.0075
49	00:22:48	0.0263	-0.0159	0.0209	0.0015
50	00:23:48	0.0301	-0.0188	0.0234	0.0022
51	00:23:56	0.0474	-0.0463	0.0074	0.0069
52	00:24:05	0.0213	-0.0171	0.0115	0.0052
53	00:24:14	0.0141	-0.0060	0.0112	0.0062
54	00:24:22	0.0157	0.0097	0.0096	0.0077
55	00:24:52	0.0210	-0.0085	0.0191	0.0022
56	00:25:28	0.0376	0.0318	0.0170	0.0107
57	00:25:36	0.0114	-0.0013	0.0094	0.0064
58	00:26:15	0.0342	-0.0297	0.0152	0.0077
59	00:26:24	0.0629	0.0625	0.0011	0.0071
60	00:28:00	0.0545	-0.0509	0.0180	0.0075
61	00:29:06	0.0306	0.0177	0.0219	0.0121
62	00:29:15	0.0141	-0.0084	0.0091	0.0067
63	00:30:44	0.0467	-0.0373	0.0262	0.0103
64	00:30:52	0.0078	0.0004	0.0023	0.0074
65	00:31:01	0.0166	0.0059	0.0130	0.0084
66	00:31:10	0.0147	-0.0079	0.0109	0.0060
67	00:32:49	0.0246	0.0139	0.0184	0.0087
68	00:33:48	0.0354	-0.0237	0.0257	0.0054
69	00:33:56	0.0315	0.0268	0.0133	0.0100
70	00:34:33	0.0413	-0.0345	0.0217	0.0067
71	00:35:09	0.0428	0.0326	0.0254	0.0113
72	00:35:38	0.0429	0.0308	0.0271	0.0126
73	00:35:46	0.0179	-0.0109	0.0127	0.0063
74	00:35:55	0.0205	-0.0159	0.0121	0.0048
75	00:36:04	0.0116	0.0056	0.0069	0.0075
76	00:37:03	0.0367	-0.0247	0.0268	0.0045
77	00:37:33	0.0367	-0.0228	0.0286	0.0035
78	00:37:52	0.0157	0.0045	0.0111	0.0101
79	00:38:01	0.0228	-0.0137	0.0169	0.0067
80	00:38:09	0.0201	-0.0083	0.0159	0.0091
81	00:38:18	0.0154	-0.0101	0.0105	0.0050
82	00:38:27	0.0112	-0.0023	0.0091	0.0062
83	00:38:35	0.0128	-0.0051	0.0102	0.0058
84	00:38:44	0.0153	0.0125	0.0034	0.0082
85	00:38:53	0.0114	-0.0046	0.0091	0.0050
86	00:39:01	0.0181	-0.0149	0.0083	0.0060
87	00:39:10	0.0125	-0.0056	0.0098	0.0054
88	00:39:18	0.0194	-0.0171	0.0051	0.0076
89	00:39:27	0.0083	-0.0017	0.0060	0.0055
90	00:39:36	0.0099	0.0007	0.0074	0.0066
91	00:39:44	0.0100	-0.0009	0.0085	0.0051
92	00:39:53	0.0445	0.0436	0.0068	0.0061
93	00:40:01	0.0094	-0.0016	0.0073	0.0057
94	00:40:10	0.0098	0.0026	0.0080	0.0051
95	00:40:18	0.0077	-0.0022	0.0053	0.0052
96	00:40:27	0.0093	0.0053	-0.0016	0.0075
97	00:40:36	0.0072	0.0013	0.0047	0.0053
98	00:40:44	0.0158	0.0124	0.0075	0.0063
99	00:40:53	0.0311	0.0304	-0.0055	0.0038
100	00:41:01	0.0498	0.0494	-0.0001	0.0062
101	00:41:10	0.0088	0.0027	0.0059	0.0060
102	00:41:19	0.1332	0.1331	0.0029	0.0052
103	00:41:28	0.0083	0.0042	0.0040	0.0060
104	00:41:36	0.0193	0.0171	0.0064	0.0063
105	00:41:45	0.0071	0.0039	-0.0018	0.0056
106	00:41:53	0.0184	0.0169	0.0008	0.0072
107	00:42:02	0.0094	0.0069	0.0033	0.0055
108	00:42:11	0.0188	0.0172	0.0006	0.0075
109	00:42:19	0.0133	0.0118	-0.0003	0.0062
110	00:42:28	0.0186	0.0173	0.0019	0.0066
111	00:42:36	0.0157	0.0143	0.0000	0.0064
112	00:42:45	0.0283	0.0273	0.0022	0.0072
113	00:42:53	0.0160	0.0144	0.0015	0.0068
114	00:43:02	0.0212	0.0198	0.0028	0.0071
115	00:43:11	0.0706	0.0701	-0.0079	0.0026
116	00:43:19	0.0631	0.0630	0.0011	0.0042
117	00:43:28	0.0217	0.0207	0.0004	0.0065
118	00:43:37	0.0277	0.0266	0.0023	0.0072
119	00:43:45	0.0265	0.0254	0.0001	0.0075
120	00:43:54	0.0255	0.0245	0.0029	0.0065
121	00:44:02	0.0237	0.0225	-0.0022	0.0071
122	00:44:11	0.0256	0.0246	0.0015	0.0068
123	00:44:20	0.0262	0.0248	-0.0027	0.0080
124	00:44:28	0.0334	0.0324	-0.0001	0.0082
125	00:44:37	0.0306	0.0298	0.0011	0.0068
126	00:44:46	0.0303	0.0294	0.0015	0.0071
127	00:44:54	0.0250	0.0241	0.0001	0.0065
128	00:45:03	0.0355	0.0346	0.0012	0.0079
129	00:45:11	0.0237	0.0224	-0.0037	0.0068
130	00:45:20	0.0307	0.0298	0.0007	0.0075
131	00:45:29	0.0262	0.0252	0.0009	0.0070
132	00:45:37	0.0265	0.0254	0.0001	0.0075
133	00:45:46	0.0283	0.0272	-0.0039	0.0069
134	00:45:55	0.1436	0.1434	-0.0051	0.0049
135	00:46:03	0.0285	0.0271	-0.0045	0.0074
136	00:46:12	0.0286	0.0277	0.0004	0.0072
