Sample Period , 25.000
Samples per division , 25
Trigger Signal , [1] 속도 명령
Trigger Mode , [2] 상승 시점
Trigger Threshold , 5
Pretrigger , 10
Time (ms) , [0] 속도 피드백 (RPM) , [19] 모터 부하율 (%)
4975 , 2966.000 , 80.000
5000 , 2934.000 , 64.000
5025 , 2863.000 , 78.000
5050 , 2777.000 , 65.000
5075 , 2656.000 , 53.000
5100 , 2506.000 , 53.000
5125 , 2320.000 , 48.000
5150 , 2111.000 , 39.000
5175 , 1870.000 , 36.000
5200 , 1599.000 , 31.000
5225 , 1325.000 , 31.000
5250 , 1068.000 , 27.000
5275 , 834.000 , 29.000
5300 , 630.000 , 27.000
5325 , 457.000 , 23.000
5350 , 310.000 , 22.000
5375 , 193.000 , 22.000
5400 , 105.000 , 22.000
5425 , 47.000 , 24.000
5450 , 21.000 , 31.000
5475 , 16.000 , 32.000
5500 , 9.000 , 33.000
5525 , 6.000 , 33.000
5550 , 4.000 , 34.000
5575 , 2.000 , 34.000
5600 , 1.000 , 34.000
5625 , 0.000 , 26.000
5650 , -15.000 , 10.000
5675 , -76.000 , 45.000
5700 , -158.000 , 52.000
5725 , -268.000 , 61.000
5750 , -407.000 , 71.000
5775 , -577.000 , 80.000
5800 , -776.000 , 87.000
5825 , -1005.000 , 97.000
5850 , -1268.000 , 102.000
5875 , -1543.000 , 108.000
5900 , -1810.000 , 106.000
5925 , -2057.000 , 104.000
5950 , -2277.000 , 102.000
5975 , -2461.000 , 103.000
6000 , -2621.000 , 100.000
6025 , -2754.000 , 92.000
6050 , -2853.000 , 85.000
6075 , -2913.000 , 92.000
6100 , -2957.000 , 83.000
6125 , -2973.000 , 81.000
6150 , -2980.000 , 85.000
6175 , -2976.000 , 73.000
6200 , -2979.000 , 87.000
6225 , -2981.000 , 67.000
6250 , -2976.000 , 78.000
6275 , -2984.000 , 74.000
6300 , -2974.000 , 79.000
6325 , -2983.000 , 83.000
6350 , -2981.000 , 77.000
6375 , -2978.000 , 81.000
6400 , -2981.000 , 77.000
6425 , -2977.000 , 79.000
6450 , -2983.000 , 73.000
6475 , -2979.000 , 84.000
6500 , -2979.000 , 84.000
6525 , -2980.000 , 81.000
6550 , -2982.000 , 89.000
6575 , -2980.000 , 67.000
6600 , -2966.000 , 83.000
6625 , -2945.000 , 69.000
6650 , -2881.000 , 66.000
6675 , -2795.000 , 62.000
6700 , -2686.000 , 50.000
6725 , -2538.000 , 52.000
6750 , -2357.000 , 40.000
6775 , -2154.000 , 40.000
6800 , -1925.000 , 35.000
6825 , -1656.000 , 30.000
6850 , -1379.000 , 29.000
6875 , -1119.000 , 26.000
6900 , -881.000 , 26.000
6925 , -669.000 , 25.000
6950 , -489.000 , 22.000
6975 , -336.000 , 23.000
7000 , -214.000 , 22.000
7025 , -120.000 , 21.000
7050 , -56.000 , 22.000
7075 , -21.000 , 29.000
7100 , -17.000 , 31.000
7125 , -11.000 , 32.000
7150 , -6.000 , 33.000
7175 , -4.000 , 34.000
7200 , -2.000 , 34.000
7225 , -2.000 , 33.000
7250 , 0.000 , 30.000
7275 , 7.000 , 4.000
7300 , 58.000 , 49.000
7325 , 139.000 , 53.000
7350 , 244.000 , 62.000
7375 , 377.000 , 69.000
7400 , 542.000 , 78.000
7425 , 735.000 , 87.000
7450 , 958.000 , 95.000
7475 , 1212.000 , 101.000
