Sample Period , 25.000
Samples per division , 25
Trigger Signal , [1] 속도 명령
Trigger Mode , [2] 상승 시점
Trigger Threshold , 5
Pretrigger , 10
Time (ms) , [0] 속도 피드백 (RPM) , [19] 모터 부하율 (%)
5000 , 3372.000 , 46.000
5025 , 3206.000 , 45.000
5050 , 2976.000 , 37.000
5075 , 2680.000 , 33.000
5100 , 2298.000 , 27.000
5125 , 1865.000 , 24.000
5150 , 1405.000 , 19.000
5175 , 999.000 , 23.000
5200 , 666.000 , 29.000
5225 , 394.000 , 31.000
5250 , 199.000 , 34.000
5275 , 73.000 , 37.000
5300 , 16.000 , 40.000
5325 , 4.000 , 41.000
5350 , 1.000 , 41.000
5375 , 1.000 , 41.000
5400 , 0.000 , 41.000
5425 , 0.000 , 40.000
5450 , -1.000 , 39.000
5475 , -27.000 , 27.000
5500 , -124.000 , 20.000
5525 , -282.000 , 14.000
5550 , -510.000 , 6.000
5575 , -811.000 , 0.000
5600 , -1185.000 , 7.000
5625 , -1627.000 , 12.000
5650 , -2080.000 , 10.000
5675 , -2486.000 , 9.000
5700 , -2833.000 , 3.000
5725 , -3090.000 , 6.000
5750 , -3294.000 , 6.000
5775 , -3412.000 , 5.000
5800 , -3470.000 , 12.000
5825 , -3489.000 , 16.000
5850 , -3486.000 , 11.000
5875 , -3486.000 , 14.000
5900 , -3469.000 , 18.000
5925 , -3391.000 , 20.000
5950 , -3237.000 , 24.000
5975 , -3034.000 , 33.000
6000 , -2740.000 , 32.000
6025 , -2388.000 , 41.000
6050 , -1953.000 , 44.000
6075 , -1501.000 , 46.000
6100 , -1072.000 , 47.000
6125 , -726.000 , 42.000
6150 , -445.000 , 38.000
6175 , -234.000 , 35.000
6200 , -93.000 , 32.000
6225 , -23.000 , 28.000
6250 , -5.000 , 27.000
6275 , -2.000 , 27.000
6300 , 0.000 , 27.000
6325 , 0.000 , 28.000
6350 , 0.000 , 28.000
6375 , 0.000 , 29.000
6400 , 1.000 , 30.000
6425 , 28.000 , 40.000
6450 , 122.000 , 48.000
6475 , 283.000 , 54.000
6500 , 511.000 , 61.000
6525 , 814.000 , 67.000
6550 , 1183.000 , 74.000
6575 , 1629.000 , 80.000
6600 , 2078.000 , 79.000
6625 , 2489.000 , 76.000
6650 , 2822.000 , 73.000
6675 , 3092.000 , 73.000
6700 , 3286.000 , 64.000
6725 , 3422.000 , 60.000
6750 , 3469.000 , 62.000
6775 , 3483.000 , 56.000
6800 , 3491.000 , 56.000
6825 , 3480.000 , 58.000
6850 , 3463.000 , 51.000
6875 , 3398.000 , 46.000
6900 , 3237.000 , 46.000
6925 , 3029.000 , 38.000
6950 , 2738.000 , 37.000
6975 , 2380.000 , 25.000
7000 , 1958.000 , 24.000
7025 , 1494.000 , 18.000
7050 , 1076.000 , 25.000
7075 , 727.000 , 30.000
7100 , 443.000 , 32.000
7125 , 236.000 , 33.000
7150 , 93.000 , 36.000
7175 , 24.000 , 39.000
7200 , 5.000 , 41.000
7225 , 2.000 , 41.000
7250 , 0.000 , 41.000
7275 , 0.000 , 41.000
7300 , 0.000 , 40.000
7325 , 0.000 , 40.000
7350 , -16.000 , 29.000
7375 , -100.000 , 21.000
7400 , -247.000 , 15.000
7425 , -457.000 , 8.000
7450 , -749.000 , 1.000
7475 , -1106.000 , 5.000
